State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years,Latitude,Longitude
Karnataka,Mandya ,Mandya Traffic ,NH-275,In front of east ps cross ,263.1,263.3,8,11,9,28,4,11,12,27,12.5218157,76.8951488
Karnataka,Raichur District,Maski,NH,Lingasagur- Maski Road  Santekellur Near,0,500m,1,NA,6,7,1,NA,23,24,,
Karnataka,Bengalurr city,Electronic city Trffic Police Station ,National Highway-07,Hosuru Main Road ( HULIMAVU  Tr PS TO Singasandra  Bus Stop TO  Singasandra Bus stop ) ,   9.3 KM, 9.7 KM,6,15,25,46,4,4,15,23,12.8452145,77.6601695
Karnataka,Ramanagar District,Kaggalipura,NH 209,Lakshmipura Temple,6 Km,6.5 Km,6,12,23,41,10,5,8,23,12.2751499,76.890797
Karnataka,Bangalore District ,Hebbagodi,NH-07,Hebbagodi Bus Stop,0.00 Km,100 M,8,9,6,23,8,9,6,23,12.8257264,77.6780035
Andhra Pradesh,EG,Ravulapalem PS,NH -16,"Govt J.R.Collage center,RTC Ingate ",Colcutta 1036,Colcutta 1036.5,16,9,13,38,19,14,17,50,16.762483,81.8423198
Andhra Pradesh,EG,Ravulapalem PS,NH -16,Ethakota center ,Colcutta 1042,Colcutta 1042.5,13,14,11,38,15,16,16,47,16.762483,81.8423198
Andhra Pradesh,EG,Ravulapalem PS,NH -16,Gopalapuam center,Colcutta 1047,Colcutta 1047.5,12,10,14,36,13,13,18,44,16.762483,81.8423198
Andhra Pradesh,WG Dist,Palakol Rural ,NH,Penkullapadu to Digamarru bypass center,500,500,12,13,5,30,15,16,6,37,16.5179401,81.7253474
Andhra Pradesh,EG,Coringa PS,NH-216,Gurajanapalli,Chollangi Bridge (1 KM),N.S.N Reddy Godowns (1.5 Km),5,8,5,18,9,13,9,31,16.8100085,82.239315
Andhra Pradesh,Guntur Urban,NALLAPADU PS ,NH-16,Y-Junction,to wards Y-Junction 0 meeters,to wards Y-Junction 300 meeters,10,18,36,64,4,8,17,29,16.3421968,80.4182668
Andhra Pradesh,Nellore,Sullurupeta ps ,NH-16,Kotapoluru cross road,82+400,82+900,2,3,2,7,2,22,5,29,13.7008756,80.0209065
Andhra Pradesh,WG Dist,Palakol Rural ,NH,Lankalakoderu center to S-Turning.,500,500,9,6,4,19,13,10,6,29,16.5179401,81.7253474
Andhra Pradesh,Visakhapatnam District,Anakapalli (R) ,NH,KNR Peta ,1,1.5,24,21,NA,45,18,9,NA,27,17.7338268,83.2997187
Andhra Pradesh,EG,Annavaram PS,NH-16,Kathipudi HP Petrol Bunk to Fly over Bridge ,200 mtrs stome,800 Mtrs stone,9,14,9,32,3,14,9,26,17.2848562,82.4057722
Arunachal Pradesh,East Siang Distt.,Pasighat,NH -515,Sawmill area,Sawmill area,100 mtrs. Approx.,15,31,26,72,7,8,11,26,28.0631741,95.3239197
Arunachal Pradesh,Papum Pare,Itanagar PS,NH 415,Mithun gate/o point,Mithun gate/o point,0.5 km,2,2,1,5,0,0,1,1,27.0843682,93.6053163
Arunachal Pradesh,Upper Subansiri Distt.,Daporijo PS,NH 52,Post office Daporijo,Post office Daporijo about 1/2  km from PS,GREF camp Dapoprijo about 1 km from PS Daporijo,1,4,NA,5,0,1,0,1,27.9819831,94.2159925
Arunachal Pradesh,Papum Pare,Itanagar PS,NH 415,Bank Tinali,Bank Tinali,0.5 km,3,1,3,7,0,0,0,0,27.0843682,93.6053163
Arunachal Pradesh,Papum Pare (Capital),Itanagar PS,NH 415,"Ganga, Near RKM Hospital","Ganga, Near RKM Hospital",0.5 km,2,3,0,5,0,0,0,0,27.0843682,93.6053163
Chandigarh,Chandigarh ,Sector-31,NH-5,Airport L/Point to CRPF Campus Hallo Majra,7.54,7.04,2,5,5,12,2,6,4,12,28.4528403,77.0497982
Chandigarh,Chandigarh ,Sector-31,NH-5,Poultry farm Chowk to BSNL Turn,5.03,4.53,4,4,4,12,4,4,3,11,28.4528403,77.0497982
Chandigarh,Chandigarh ,Sector-31,NH-5,Tribune Chowk,4.1,4.6,3,0,3,6,3,0,3,6,28.4528403,77.0497982
Chandigarh,Chandigarh ,Sector-31,NH-5,Hallomajra L/Point,5.12,5.62,4,1,1,6,3,1,1,5,28.4528403,77.0497982
Chandigarh,Chandigarh ,Sector-36,NH-5,In front of ISBT- Sec.43,2,2,3,2,1,6,2,2,1,5,28.5712415,77.3482352
Chandigarh,Chandigarh ,Sector-39,NH-5,Badheri Chowk,4.2,4.7,3,1,2,6,1,1,2,4,28.5720533,77.3568485
Chhattishgarh,Balrampur,Balrampur,NH 343,Daldhova,73.8,74.3,1,1,0,2,18,1,0,19,27.4307473,82.1805203
Chhattishgarh,RAIPUR,AMANAKA,NH 53,TATIBANDH CHOWK SE SARONA OVERBRIZE TAK ,9.8,10.3,5,4,2,11,5,4,8,17,21.2406155,81.601402
Chhattishgarh,Sarguja,Ambikapur,NH 130,Mendrakalra,210.6,211.1,4,5,5,14,4,5,4,13,23.1294374,83.1861138
Chhattishgarh,RAIPUR,RAJENDRA,NH 53,PACHPEDINAKA ,0.8,0.9,5,5,2,12,5,5,2,12,,
Chhattishgarh,Mahasamund,Sankara,NH-53,Sankara,156.02,156.08,2,6,1,9,3,8,1,12,,
Chhattishgarh,Rajnandgaon,Lalbag,NH 53,Pendri,346,346.4,4,7,3,14,2,7,3,12,23.7196604,90.3877848
Chhattishgarh,Bilaspur,Ratanpur,NH 111,Khandoba Sanjhipara Bypass,21,21.5,21,2,8,31,7,3,2,12,22.2859094,82.165241
Chhattishgarh,Bilaspur,Sirgitti,NH 130,Tifara Overbridge,5,5.5,9,0,4,13,5,4,2,11,22.0417712,82.1529178
Chhattishgarh,Sarguja,Ambikapur,NH 130,Sandbar,218,218.5,6,4,3,13,5,4,2,11,23.1294374,83.1861138
Chhattishgarh,Durg,Old Bhilai,NH-53,Charoda,302.5,303,4,3,2,9,5,3,2,10,21.2093023,81.4368153
Goa,North Goa,Old Goa,NH  748,"Malik Petrol Pump, Corlim (500 mtrs)","Railway Bridge, Corlim (250 Mtrs)","Cross Mollar, Corlim (250 Mtrs)",3,3,1,7,3,7,1,11,15.501984,73.9100068
Goa,North Goa,Agacaim,NH  66,Agacaim Bypass road (500 Mtrs),Toll Naka (250 Mtrs),Edward Barand rest (250 Mtrs),7,0,1,8,8,0,1,9,15.4286695,73.8983032
Goa,North Goa,Porvorim,NH  66,Damian De Goa to Tisk Porvorim (500 Mtrs),Damian De Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6,1,10,3,5,1,9,15.5388245,73.8315417
Goa,South Goa,Collem,NH 66,Anmod Ghat (12 km),Nandran     (6 km),Goa Border (6 km),4,7,1,12,3,4,2,9,15.3366351,74.2472779
Goa,North Goa,Porvorim,NH 66,Old Porvorim Bazar (500 Mtrs),Damiandi Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6,NA,9,3,5,NA,8,15.5388245,73.8315417
Goa,North Goa,Pernem,NH 66,Naibag Slope (500 Mtrs),Panjabi Dhaba (250 Mtrs),Naibag Junction (250 Mtrs),1,5,NA,6,1,6,NA,7,15.7198284,73.7963222
Goa,North Goa,Porvorim,NH  66,Holy Family Church to Wadakadem (500 Mtrs),Holy Family Church(250 Mtrs),Wadakadem Porvorim (250 Mtrs),3,3,2,8,3,2,1,6,15.5388245,73.8315417
Goa,North Goa,Pernem,NH  66,Chopdem Junction  (500 Mtrs),Near Chopdem bridge (250 Mtrs),Agarwada Junction (250 Mtrs),1,4,2,7,1,2,3,6,15.7198284,73.7963222
Goa,South Goa,Ponda,NH 748,Cone Farmagudi (500 Mtrs),Cone Priol (250 Mtrs),Farmagudi out Post  (250 Mtrs),2,3,7,12,1,1,4,6,15.4027005,74.0077849
Goa,South Goa,Vasco,NH 566,Dabolim (1Km),Dabolim Railway Bridge (500 Mtrs),Air Port Junction (500 Mtrs),3,4,5,12,1,2,3,6,,
Gujarat,Surat rural,kosamba,N.H-48,Pipodara,235,235.5,19,18,29,66,15,13,17,45,21.4716332,72.9549987
Gujarat,"Vadodara
Rural",Varnama,NH,"Por Itola
Chokdi",12,12.5,10,5,15,30,12,5,24,41,22.1877472,73.1708378
Gujarat,Vadodara Rural,Karjan,NH 48,"Near Sansrod
Chokdi",21,21.5,5,7,14,26,8,12,18,38,22.0534997,73.1201988
Gujarat,Vadodara Rural,Karjan,NH 48,"Near
Kandari Chokdi",6,6.5,5,11,9,25,8,14,15,37,22.0534997,73.1201988
Gujarat,Vadodara city,Makarpura,8,"Sundarpura patiya To Ah' bad km.
Jambuva
bridgi",131.5,132,12,12,12,36,7,15,8,30,22.2495358,73.1847198
Gujarat,"Vadodara
Rural",Varnama,NH,"Varsada
Chokdi",4.5,5,5,6,7,18,12,8,10,30,22.1877472,73.1708378
Gujarat,GIR SOMNATH,UNA,NH-51,"NATHEJ VILLAGE
NEAR",4,4.5,4,4,0,8,22,8,0,30,31.4684649,76.2708152
Gujarat,GIR SOMNATH,UNA,NH-51,"NALIYA MANDVI NAGINA DHORA
PASE",10,10.5,4,4,NA,8,22,8,NA,30,31.4684649,76.2708152
Gujarat,Surat rural,kosamba,N.H-48,"Nandavpati
ya",224,224.5,14,17,20,51,11,7,11,29,21.4716332,72.9549987
Gujarat,Vadodara Rural,Karjan,NH 48,Near Bamangam,11.5,12,5,6,7,18,8,11,9,28,22.0534997,73.1201988
Haryana,Sonipat,Murthal,44,Kamaspur Chowk,46.1,46.6,9,9,14,32,10,16,13,39,29.0315896,77.0723807
Haryana,Sonipat,Rai,44,Balgarh Chowk,41.9,42.4,14,10,10,34,11,16,11,38,,
Haryana,Ambala ,Parao,44,Near Vill. Mohra,191.4,191.85,10,10,11,31,10,8,10,28,,
Haryana,Ambala ,Parao,44,Shastri cut,197.97,198.47,4,4,9,17,4,8,8,20,,
Haryana,Sonipat,Kundli,44,Pau Maniyari cut,31.73,32.2,8,4,4,16,10,4,4,18,,
Haryana,Sonipat,Rai,44,Rai cut,38.82,39.22,5,6,7,18,7,6,5,18,,
Haryana,Sonipat,Rai,44,Biswan meel,37.36,37.9,5,5,6,16,6,5,6,17,,
Haryana,Fatehabad,Sadar ,9,Dariyapur,227.2,227.22,6,4,5,15,4,4,8,16,,
Haryana,Panipat,Chandni Bag,44,Siwah cut,84,84.5,4,6,14,24,3,5,5,13,24.2680853,86.6437542
Haryana,Faridabad,Sec-37,44,NHPC Metro Station,21.7,22.2,1,3,6,10,1,4,5,10,28.4375165,76.9999474
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Tail Control,Humsafar chowk 177/530,Tail Control 177/990,4,2,3,9,9,4,11,24,31.5299004,76.888941
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Naresh Chowk,Tail Control 177/990,Naresh Chowk 178/255,1,7,3,11,1,12,4,17,31.5299004,76.888941
Himachal Pradesh,Shimla,Theog,NH-5,Near Dogra Mod Sandhu,178.3,178.5,5,6,4,15,4,3,7,14,31.1182802,77.3597194
Himachal Pradesh,Shimla,Kumarsain,NH-5,Singhapur,252.9,253.26,2,4,1,7,3,6,2,11,31.3182709,77.4458151
Himachal Pradesh,Shimla,New Shimla,NH-5,Mist Chamber Crossing to Khalini Bifurcation ,146.2,146.7,2,2,3,7,6,2,3,11,31.0780498,77.1686472
Himachal Pradesh,Baddi,Baddi,NH/105,Kishanpura,24/600,25/100,10,5,NA,15,7,3,NA,10,30.9578258,76.7913558
Himachal Pradesh,Shimla,Kumarsain,NH-5,Reddi Khad,208.5,209,2,4,1,7,3,6,1,10,31.3182709,77.4458151
Himachal Pradesh,Kangra,Shahpur,NH 154,Sarnu near water kuhal ,63/735,63/885,2,4,2,8,2,5,2,9,16.6956754,76.8431564
Himachal Pradesh,Kangra,Indora,NH 44,Mohtali ramp,104/740,104/760,2,3,3,8,3,3,3,9,32.1346319,75.6891699
Himachal Pradesh,Baddi,Baddi,NH/105,Bhud,22/400,22/900,9,11,NA,20,3,6,NA,9,30.9578258,76.7913558
Manipur,Thoubal,Thoubal PS,NH 102,Thoubal Haokha area,Haokha area 1.5 km,Keyam Sephai 2 km,3,9,NA,12,1,2,NA,3,24.6449243,93.99929
Manipur,Kakching,Kakching,NH 102,Kakching Khunuta Ching,"3kms, Kakching Lamkhai",3 kms and 500m. Sora Village,2,2,2,6,0,1,1,2,24.496869,93.9830529
Manipur,Thoubal,Thoubal PS,NH 102,"Heirok Lamkhai, Wangjing",Wangjing Bazar-5 km,Uningkhong Wangjing -5.5 km,6,1,3,10,1,0,0,1,24.6449243,93.99929
Manipur,Kakching,Kakching,NH 102,Heitroipokpi near power house,"4 kms and 500 m, Lengba Loukol","5 kms, Kuraopokpi",4,2,3,9,0,0,1,1,24.496869,93.9830529
Manipur,Kakching,Kakching,NH 102,Kakching Lamkhai,"2 kms and 500 m, Irumphal, Kakching","3kms, Khunuta Chingjin",4,1,2,7,0,0,0,0,24.496869,93.9830529
Megahalaya,Jowai traffic Branch, Jowai,NA,Wah Gate Chahtngit Jowai,0km,0.5km,0,9,2,11,0,2,0,2,25.450902,92.2089109
Megahalaya,East Jaintia Hills,Khliehrait PS,NH,Byndihati,6km,6km,7,NA,NA,7,1,NA,NA,1,25.3567243,92.3640875
Megahalaya,Jowai traffic Branch, Jowai,NA,Mooralong NH44,0km,0.5km,5,4,5,14,0,0,0,0,25.450902,92.2089109
Mizoram,AIZAWL,VAIVAKAWN,NH,RANGVAMUAL,2,07-Jan,3,3,4,10,4,3,5,12,23.7389005,92.7101931
Mizoram,AIZAWL,KULIKAWN,NH,WORLD BANK ROAD,2,7,1,2,2,5,1,2,2,5,23.7082228,92.7220024
Mizoram,KOLASIB,KOLASIB,NH-306,KHUANGPUILAM,01-Jan,02-Jan,0,2,1,3,0,2,1,3,24.224565,92.6760251
Mizoram,KOLASIB,KOLASIB,NH-306,KHAMRANG,1,04-Jan,2,0,0,2,2,0,0,2,24.224565,92.6760251
Mizoram,SERCHHIP,SERCHHIP,NH,RALKIAUVA KHAM,1,9,0,1,1,2,0,1,1,2,23.3416578,92.8502302
Madhya Pradesh,Shivpuri,Amola,NH 27,Naya Amola sirsos chouraha,02-May,Mar-00,6,11,7,24,6,8,9,23,,
Madhya Pradesh,Khargon,Maheswar,NH 3,Ganpati Ghat ganesh mandir ke pas A B Road Bakaner,50-1,50-21 ,4,5,8,17,3,13,7,23,22.1772853,75.5829782
Madhya Pradesh,Devash,O Chetra Devash,NH 3,Rasoolpur Chouraha,Jan-00,01-May,158,NA,NA,158,22,NA,NA,22,,
Madhya Pradesh,Sagar,Cant,NH 26,For line gadpahra tiraha,Feb-00,02-May,8,14,5,27,4,8,9,21,,
Madhya Pradesh,Dhar,Sector 1,NH 3,AB Road bhodiya talab ke samne tiraha,22-0, 22-2 ,6,4,13,23,7,3,9,19,44.452444,26.0856777
Madhya Pradesh,Mandsore,Pipaliya Mandi,NH 79,Pipliya mandi choupati Highway Road,14-May,15,7,6,9,22,7,5,7,19,24.1881706,75.0084554
Madhya Pradesh,Shivpuri,Amola,NH 27,Amola Krasher,10,10-May,3,4,6,13,7,5,5,17,,
Madhya Pradesh,Dhar,Dhamnod,NH 3,Ganesh Ghat,8,12,82,NA,NA,82,17,NA,NA,17,22.2138885,75.4723411
Madhya Pradesh,Nimach,Jawad,NH 79,Kanka Fanta Highway,03-Jan,03-Feb,2,3,18,23,2,11,3,16,24.5858514,74.8565613
Madhya Pradesh,Bhind,dehat,NH 92,Daboha more,Mar-00,03-May,5,5,10,20,2,4,9,15,,
Nagaland,Kohima,South PS,NH/29,NST garage New Reserve Junction,184,184.5,10,5,5,20,2,0,0,2,,
Nagaland,Kohima,South PS,NH/29,City Church-ioc,182-5,183,17,9,14,40,0,0,1,1,,
Nagaland,Kohima,South PS,NH/29,"New reserve Junction, revival Church",184.5,185,5,0,7,12,1,NA,0,1,,
Nagaland,Kohima,North PS,NH/2,Kezieke to Tinpati,1,1.5,5,NA,NA,5,1,NA,NA,1,,
Nagaland,Kohima,South PS,NH/29,TCP gate-City Church,182,182.5,16,11,9,36,0,0,0,0,,
Nagaland,Kohima,South PS,NH/29,IOC-OLD NST,183,183-5,6,7,5,18,0,0,0,0,,
Nagaland,Kohima,South PS,NH/29,OLD INT NST garage,183.5,184,8,8,5,21,0,0,0,0,,
Nagaland,Kohima,Sechü Zubza PS,NH/29,Orphanage to AR Camp,177.5,178,2,NA,5,7,0,0,NA,0,25.7166408,94.0363382
Nagaland,Kiphire,Kiphire PS,NH-202,Kiphire Town,220,220.5,1,3,1,5,0,0,0,0,25.8689085,94.7853412
Nagaland,Kohima,Sechü Zubza PS,NH/29,Lalmati to Peducha Village,164,164.5,6,5,NA,11,0,0,NA,0,25.7166408,94.0363382
Rajasthan,Jaipur Gramin,Chaikankan,8,Padasoli ,339.75,339.95,13,14,9,36,7,15,4,26,,
Rajasthan,Jaipur Gramin,Chaikankan,8,Moukhampura,312.3,312.65,15,11,13,39,7,10,7,24,,
Rajasthan,Jaipur Gramin,Chaikankan,8,Mahlan,301.1,301.45,10,14,13,37,8,7,8,23,,
Rajasthan,Ajmer,Vyawar Sadar,8,Kharwa Chouraha,1,1,13,11,11,35,7,9,6,22,,
Rajasthan,Rajsamand         ,Bhim,8,Nandawat,1.5,2,9,15,12,36,7,12,2,21,,
Rajasthan,Jaipur Purva,Kanota,NH-11,Mali ki Kothi bagrana,369 KM ,369.10 KM,21,13,14,48,8,6,6,20,26.8622557,75.9557586
Rajasthan,Udaypur,Kherwad,8,Khandi Obari,345-60,346-10,6,7,3,16,6,11,3,20,27.147561,73.8855405
Rajasthan,Jaipur Gramin,Bendakuramp,8,BELPUR,0,500 METER,5,12,4,21,5,12,2,19,,
Rajasthan,Bharatpur,Rupwas,NH NO123,Bokoli,1,1,5,3,11,19,5,3,11,19,26.9942267,77.5929166
Rajasthan,Bundi,Taleda,",u ,p 52",Bllop pulia ke pas,o.5,1,12,3,7,22,2,1,16,19,46.0046404,8.9506341
Tamilnadu,Chennai City,T1 Ambattur Traffic P S,NH 205,"C.T.H. Road Mannurpet, AMBT Tel Exchange",18,18.5,251,300,224,775,59,56,51,166,13.1143393,80.1547844
Tamilnadu,Chennai City,T15 SRMC Traffic P S,NH 48,"Tambaram - Puzhal Bypass Road,  Porur Toll gate Near",17,17.5,173,119,131,423,30,30,37,97,,
Tamilnadu,Chennai City,T12 Poonamallee Traffic P S,NH 44,"Bangalore-Chennai NH Rd, Nazarethpet junction",5,5.5,166,188,166,520,27,37,31,95,13.0472609,80.0945307
Tamilnadu,Cuddalore,Kadampuliyur  PS,NH 45 C ,Panikankuppam,30.4,30.9,113,86,86,285,16,11,14,41,11.7045933,79.5533194
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Minnur JN,32,32.5,11,9,18,38,11,9,18,38,12.7801672,78.7177271
Tamilnadu,Kanchipuram ,G1 MADHURANTHAGAM ,NH ,Karunkuzhi,4,4.5,32,30,20,82,12,12,12,36,12.5091595,79.8853875
Tamilnadu,Chennai City,T4 Maduravoyal Traffic P S,NH-45,P.H Road-Vembuli Amman koil junction,0.5,1,45,59,43,147,9,22,5,36,13.0655842,80.1607768
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Periyangkuppam JN,35,35.5,11,11,13,35,11,11,13,35,12.7801672,78.7177271
Tamilnadu,Viluppuram,Olakkur PS,NH 45,Saram BDO office,114+750,115+250,27,27,24,78,10,15,6,31,12.3079852,79.7189541
Tamilnadu,Cuddalore,Annamalai nagar ps,NH 45A,Vallampadugai,116.1,116.6,41,46,32,119,12,11,8,31,11.3920567,79.7147468
Uttrakhand,UKI,Dhrasu,NH 108,Nalupani,2,2.5,3,3,1,7,3,36,2,41,29.9838065,78.8651581
Uttrakhand,UDN,ITI,NH 74,Permanandpur,152,152.5,7,5,2,14,10,6,2,18,,
Uttrakhand,TWL,Chamba,NH 94,Kirgani,81,81.5,0,0,1,1,0,0,17,17,32.5533633,76.1258083
Uttrakhand,UKI,Purola,NH 507,Rikhau Khadd,62,62.5,0,0,1,1,0,0,15,15,30.8788542,78.0851607
Uttrakhand,UDN,Rudrapur,NH 74,Radha Swami Satsang,196,196.5,0,4,12,16,2,1,12,15,28.9875082,79.4141214
Uttrakhand,UDN,Kicha,NH 74,Lalpur,208,208.5,1,3,8,12,5,1,8,14,,
